receivedAt,area,name,mode,scheduled,explicit_forecast,cancelled,trip_update_only,missing,ambiguous,unsupported,explicitPercent
2026-09-06T09:46:48.643859+00:00,munich,München,other,0,0,0,0,0,0,0,
2026-09-06T09:46:48.643859+00:00,cologne,Köln,tram_metro,114,92,0,21,1,0,0,80.7
2026-09-06T09:46:48.643859+00:00,cologne,Köln,bus,177,85,0,23,69,0,0,48.0
2026-09-06T09:46:48.643859+00:00,cologne,Köln,suburban,15,13,0,2,0,0,0,86.7
2026-09-06T09:46:48.643859+00:00,cologne,Köln,regional,18,13,0,4,1,0,0,72.2
2026-09-06T09:46:48.643859+00:00,cologne,Köln,long_distance,8,7,0,1,0,0,0,87.5
2026-09-06T09:46:48.643859+00:00,cologne,Köln,ferry,0,0,0,0,0,0,0,
2026-09-06T09:46:48.643859+00:00,cologne,Köln,other,0,0,0,0,0,0,0,
2026-09-06T09:46:48.643859+00:00,frankfurt,Frankfurt am Main,tram_metro,171,93,0,66,12,0,0,54.4
2026-09-06T09:46:48.643859+00:00,frankfurt,Frankfurt am Main,bus,349,163,0,103,83,0,0,46.7
2026-09-06T09:46:48.643859+00:00,frankfurt,Frankfurt am Main,suburban,37,32,0,4,1,0,0,86.5
2026-09-06T09:46:48.643859+00:00,frankfurt,Frankfurt am Main,regional,22,13,0,8,1,0,0,59.1
2026-09-06T09:46:48.643859+00:00,frankfurt,Frankfurt am Main,long_distance,6,4,0,1,1,0,0,66.7
2026-09-06T09:46:48.643859+00:00,frankfurt,Frankfurt am Main,ferry,0,0,0,0,0,0,0,
2026-09-06T09:46:48.643859+00:00,frankfurt,Frankfurt am Main,other,0,0,0,0,0,0,0,
2026-09-06T09:46:48.643859+00:00,stuttgart,Stuttgart,tram_metro,172,146,0,2,24,0,0,84.9
2026-09-06T09:46:48.643859+00:00,stuttgart,Stuttgart,bus,254,179,0,23,52,0,0,70.5
2026-09-06T09:46:48.643859+00:00,stuttgart,Stuttgart,suburban,23,20,0,3,0,0,0,87.0
2026-09-06T09:46:48.643859+00:00,stuttgart,Stuttgart,regional,17,13,0,1,3,0,0,76.5
2026-09-06T09:46:48.643859+00:00,stuttgart,Stuttgart,long_distance,9,6,0,2,1,0,0,66.7
